year,entity,type_of_crime,count
2015,Campeche,Non-compliance with family support obligations,13
2015,Campeche,Other common law crimes,76
2015,Campeche,Other crimes against heritage or property,32
2015,Campeche,Other crimes against life and bodily integrity,10
2015,Campeche,Other crimes against personal freedom,7
2015,Campeche,Other crimes against sexual freedom and security,9
2015,Campeche,Other crimes against society,0
2015,Campeche,Other crimes against the family,1
2015,Campeche,Prisoner escape,0
2015,Campeche,Property damage,235
2015,Campeche,Robbery,858
2015,Campeche,Sexual abuse,9
2015,Campeche,Sexual harassment,0
2015,Campeche,Simple rape,44
2015,Campeche,Threats,27
2015,Chiapas,Abduction,5
2015,Chiapas,Abortion,20
2015,Chiapas,Aggravated rape,24
2015,Chiapas,Burglary,104
2015,Chiapas,Child trafficking,2
2015,Chiapas,Corruption of minors,44
2015,Chiapas,Counterfeiting,96
2015,Chiapas,Crimes committed by public officials,216
2015,Chiapas,Dispossession,353
2015,Chiapas,Domestic violence,1251
2015,Chiapas,Drug trafficking (small-scale),724
2015,Chiapas,Electoral crimes,46
2015,Chiapas,Embezzlement,89
2015,Chiapas,Environmental crimes,76
2015,Chiapas,Extortion,217
2015,Chiapas,Feminicide,36
2015,Chiapas,Forgery,23
2015,Chiapas,Fraud,293
2015,Chiapas,Gender-based violence in all its forms other than domestic violence,0
2015,Chiapas,Homicide,1552
2015,Chiapas,Human trafficking,93
2015,Chiapas,Incest,0
2015,Chiapas,Injuries,1456
2015,Chiapas,Kidnapping,10
2015,Chiapas,Non-compliance with family support obligations,1125
2015,Chiapas,Other common law crimes,3362
2015,Chiapas,Other crimes against heritage or property,2
2015,Chiapas,Other crimes against life and bodily integrity,0
2015,Chiapas,Other crimes against personal freedom,57
2015,Chiapas,Other crimes against sexual freedom and security,52
2015,Chiapas,Other crimes against society,11
2015,Chiapas,Other crimes against the family,2
2015,Chiapas,Prisoner escape,3
2015,Chiapas,Property damage,1263
2015,Chiapas,Robbery,7930
2015,Chiapas,Sexual abuse,266
2015,Chiapas,Sexual harassment,21
2015,Chiapas,Simple rape,717
2015,Chiapas,Threats,77
2015,Chihuahua,Abduction,0
2015,Chihuahua,Abortion,8
2015,Chihuahua,Aggravated rape,223
2015,Chihuahua,Burglary,313
2015,Chihuahua,Child trafficking,2
2015,Chihuahua,Corruption of minors,151
2015,Chihuahua,Counterfeiting,469
2015,Chihuahua,Crimes committed by public officials,567
2015,Chihuahua,Dispossession,612
2015,Chihuahua,Domestic violence,12273
2015,Chihuahua,Drug trafficking (small-scale),3064
2015,Chihuahua,Electoral crimes,3
2015,Chihuahua,Embezzlement,828
2015,Chihuahua,Environmental crimes,29
2015,Chihuahua,Extortion,11
2015,Chihuahua,Feminicide,0
2015,Chihuahua,Forgery,226
2015,Chihuahua,Fraud,2648
2015,Chihuahua,Gender-based violence in all its forms other than domestic violence,0
2015,Chihuahua,Homicide,1286
2015,Chihuahua,Human trafficking,21
2015,Chihuahua,Incest,1
2015,Chihuahua,Injuries,4872
2015,Chihuahua,Kidnapping,6
2015,Chihuahua,Non-compliance with family support obligations,1957
2015,Chihuahua,Other common law crimes,3658
2015,Chihuahua,Other crimes against heritage or property,104
2015,Chihuahua,Other crimes against life and bodily integrity,352
2015,Chihuahua,Other crimes against personal freedom,609
2015,Chihuahua,Other crimes against sexual freedom and security,100
2015,Chihuahua,Other crimes against society,16
2015,Chihuahua,Other crimes against the family,4
2015,Chihuahua,Prisoner escape,2
2015,Chihuahua,Property damage,6419
2015,Chihuahua,Robbery,16139
2015,Chihuahua,Sexual abuse,1064
2015,Chihuahua,Sexual harassment,157
2015,Chihuahua,Simple rape,694
2015,Chihuahua,Threats,2392
2015,Ciudad de México,Abduction,5
2015,Ciudad de México,Abortion,131
2015,Ciudad de México,Aggravated rape,67
2015,Ciudad de México,Burglary,615
2015,Ciudad de México,Child trafficking,4
2015,Ciudad de México,Corruption of minors,182
2015,Ciudad de México,Counterfeiting,4625
2015,Ciudad de México,Crimes committed by public officials,3142
2015,Ciudad de México,Dispossession,3248
2015,Ciudad de México,Domestic violence,16103
2015,Ciudad de México,Drug trafficking (small-scale),1522
2015,Ciudad de México,Electoral crimes,20
2015,Ciudad de México,Embezzlement,2705
2015,Ciudad de México,Environmental crimes,593
2015,Ciudad de México,Extortion,639
2015,Ciudad de México,Feminicide,56
2015,Ciudad de México,Forgery,477
2015,Ciudad de México,Fraud,11691
2015,Ciudad de México,Gender-based violence in all its forms other than domestic violence,0
2015,Ciudad de México,Homicide,1585
2015,Ciudad de México,Human trafficking,36
2015,Ciudad de México,Incest,0
2015,Ciudad de México,Injuries,11262
2015,Ciudad de México,Kidnapping,55
2015,Ciudad de México,Non-compliance with family support obligations,873
2015,Ciudad de México,Other common law crimes,9215
2015,Ciudad de México,Other crimes against heritage or property,0
2015,Ciudad de México,Other crimes against life and bodily integrity,0
2015,Ciudad de México,Other crimes against personal freedom,678
2015,Ciudad de México,Other crimes against sexual freedom and security,8
2015,Ciudad de México,Other crimes against society,15
2015,Ciudad de México,Other crimes against the family,990
2015,Ciudad de México,Prisoner escape,23
2015,Ciudad de México,Property damage,9518
2015,Ciudad de México,Robbery,77435
2015,Ciudad de México,Sexual abuse,1646
2015,Ciudad de México,Sexual harassment,33
2015,Ciudad de México,Simple rape,644
2015,Ciudad de México,Threats,9860
2015,Coahuila de Zaragoza,Abduction,4
2015,Coahuila de Zaragoza,Abortion,3
2015,Coahuila de Zaragoza,Aggravated rape,42
2015,Coahuila de Zaragoza,Burglary,306
2015,Coahuila de Zaragoza,Child trafficking,0
2015,Coahuila de Zaragoza,Corruption of minors,54
2015,Coahuila de Zaragoza,Counterfeiting,426
2015,Coahuila de Zaragoza,Crimes committed by public officials,170
2015,Coahuila de Zaragoza,Dispossession,373
2015,Coahuila de Zaragoza,Domestic violence,2154
2015,Coahuila de Zaragoza,Drug trafficking (small-scale),2331
2015,Coahuila de Zaragoza,Electoral crimes,0
2015,Coahuila de Zaragoza,Embezzlement,526
2015,Coahuila de Zaragoza,Environmental crimes,32
2015,Coahuila de Zaragoza,Extortion,36
2015,Coahuila de Zaragoza,Feminicide,16
2015,Coahuila de Zaragoza,Forgery,1
2015,Coahuila de Zaragoza,Fraud,982
2015,Coahuila de Zaragoza,Gender-based violence in all its forms other than domestic violence,13
2015,Coahuila de Zaragoza,Homicide,535
2015,Coahuila de Zaragoza,Human trafficking,8
2015,Coahuila de Zaragoza,Incest,1
2015,Coahuila de Zaragoza,Injuries,5832
2015,Coahuila de Zaragoza,Kidnapping,25
2015,Coahuila de Zaragoza,Non-compliance with family support obligations,580
2015,Coahuila de Zaragoza,Other common law crimes,6650
2015,Coahuila de Zaragoza,Other crimes against heritage or property,1111
2015,Coahuila de Zaragoza,Other crimes against life and bodily integrity,12
2015,Coahuila de Zaragoza,Other crimes against personal freedom,17
2015,Coahuila de Zaragoza,Other crimes against sexual freedom and security,53
2015,Coahuila de Zaragoza,Other crimes against society,1
2015,Coahuila de Zaragoza,Other crimes against the family,265
2015,Coahuila de Zaragoza,Prisoner escape,1
2015,Coahuila de Zaragoza,Property damage,8330
2015,Coahuila de Zaragoza,Robbery,13140
2015,Coahuila de Zaragoza,Sexual abuse,311
2015,Coahuila de Zaragoza,Sexual harassment,68
2015,Coahuila de Zaragoza,Simple rape,63
2015,Coahuila de Zaragoza,Threats,2097
2015,Colima,Abduction,0
2015,Colima,Abortion,0
2015,Colima,Aggravated rape,0
2015,Colima,Burglary,82
2015,Colima,Child trafficking,0
2015,Colima,Corruption of minors,0
2015,Colima,Counterfeiting,62
2015,Colima,Crimes committed by public officials,0
2015,Colima,Dispossession,52
2015,Colima,Domestic violence,549
2015,Colima,Drug trafficking (small-scale),493
2015,Colima,Electoral crimes,0
2015,Colima,Embezzlement,38
2015,Colima,Environmental crimes,0
2015,Colima,Extortion,14
2015,Colima,Feminicide,5
2015,Colima,Forgery,13
2015,Colima,Fraud,44
2015,Colima,Gender-based violence in all its forms other than domestic violence,0
2015,Colima,Homicide,222
2015,Colima,Human trafficking,0
2015,Colima,Incest,0
2015,Colima,Injuries,294
2015,Colima,Kidnapping,5
2015,Colima,Non-compliance with family support obligations,137
2015,Colima,Other common law crimes,1154
2015,Colima,Other crimes against heritage or property,5
2015,Colima,Other crimes against life and bodily integrity,0
2015,Colima,Other crimes against personal freedom,5
2015,Colima,Other crimes against sexual freedom and security,5
2015,Colima,Other crimes against society,0
2015,Colima,Other crimes against the family,0
2015,Colima,Prisoner escape,0
2015,Colima,Property damage,146
2015,Colima,Robbery,2986
2015,Colima,Sexual abuse,26
2015,Colima,Sexual harassment,0
2015,Colima,Simple rape,24
2015,Colima,Threats,201
2015,Durango,Abduction,0
2015,Durango,Abortion,2
2015,Durango,Aggravated rape,2
2015,Durango,Burglary,159
2015,Durango,Child trafficking,1
2015,Durango,Corruption of minors,0
2015,Durango,Counterfeiting,35
2015,Durango,Crimes committed by public officials,123
2015,Durango,Dispossession,373
2015,Durango,Domestic violence,3521
2015,Durango,Drug trafficking (small-scale),314
2015,Durango,Electoral crimes,15
2015,Durango,Embezzlement,517
2015,Durango,Environmental crimes,0
2015,Durango,Extortion,62
2015,Durango,Feminicide,2
2015,Durango,Forgery,13
2015,Durango,Fraud,2094
2015,Durango,Gender-based violence in all its forms other than domestic violence,0
2015,Durango,Homicide,494
2015,Durango,Human trafficking,2
2015,Durango,Incest,0
2015,Durango,Injuries,3921
2015,Durango,Kidnapping,6
2015,Durango,Non-compliance with family support obligations,35
2015,Durango,Other common law crimes,1873
2015,Durango,Other crimes against heritage or property,210
2015,Durango,Other crimes against life and bodily integrity,31
2015,Durango,Other crimes against personal freedom,82
2015,Durango,Other crimes against sexual freedom and security,269
2015,Durango,Other crimes against society,68
2015,Durango,Other crimes against the family,141
2015,Durango,Prisoner escape,1
2015,Durango,Property damage,2206
2015,Durango,Robbery,10363
2015,Durango,Sexual abuse,182
2015,Durango,Sexual harassment,18
2015,Durango,Simple rape,188
2015,Durango,Threats,1765
2015,Guanajuato,Abduction,0
2015,Guanajuato,Abortion,22
2015,Guanajuato,Aggravated rape,52
2015,Guanajuato,Burglary,190
2015,Guanajuato,Child trafficking,18
2015,Guanajuato,Corruption of minors,140
2015,Guanajuato,Counterfeiting,806
2015,Guanajuato,Crimes committed by public officials,0
2015,Guanajuato,Dispossession,786
2015,Guanajuato,Domestic violence,10298
2015,Guanajuato,Drug trafficking (small-scale),3060
2015,Guanajuato,Electoral crimes,54
2015,Guanajuato,Embezzlement,1105
2015,Guanajuato,Environmental crimes,7
2015,Guanajuato,Extortion,8
2015,Guanajuato,Feminicide,16
2015,Guanajuato,Forgery,156
2015,Guanajuato,Fraud,2407
2015,Guanajuato,Gender-based violence in all its forms other than domestic violence,0
2015,Guanajuato,Homicide,2398
2015,Guanajuato,Human trafficking,9
2015,Guanajuato,Incest,3
2015,Guanajuato,Injuries,10657
2015,Guanajuato,Kidnapping,8
2015,Guanajuato,Non-compliance with family support obligations,1045
2015,Guanajuato,Other common law crimes,16827
2015,Guanajuato,Other crimes against heritage or property,0
2015,Guanajuato,Other crimes against life and bodily integrity,0
2015,Guanajuato,Other crimes against personal freedom,0
2015,Guanajuato,Other crimes against sexual freedom and security,0
2015,Guanajuato,Other crimes against society,0
2015,Guanajuato,Other crimes against the family,0
2015,Guanajuato,Prisoner escape,3
2015,Guanajuato,Property damage,8414
2015,Guanajuato,Robbery,31655
2015,Guanajuato,Sexual abuse,968
2015,Guanajuato,Sexual harassment,246
2015,Guanajuato,Simple rape,672
2015,Guanajuato,Threats,3752
2015,Guerrero,Abduction,0
2015,Guerrero,Abortion,2
2015,Guerrero,Aggravated rape,53
2015,Guerrero,Burglary,250
2015,Guerrero,Child trafficking,0
2015,Guerrero,Corruption of minors,3
2015,Guerrero,Counterfeiting,104
2015,Guerrero,Crimes committed by public officials,119
2015,Guerrero,Dispossession,429
2015,Guerrero,Domestic violence,2022
2015,Guerrero,Drug trafficking (small-scale),349
2015,Guerrero,Electoral crimes,10
2015,Guerrero,Embezzlement,302
2015,Guerrero,Environmental crimes,3
2015,Guerrero,Extortion,144
2015,Guerrero,Feminicide,1
2015,Guerrero,Forgery,62
2015,Guerrero,Fraud,738
2015,Guerrero,Gender-based violence in all its forms other than domestic violence,15
2015,Guerrero,Homicide,2721
2015,Guerrero,Human trafficking,3
2015,Guerrero,Incest,0
2015,Guerrero,Injuries,3529
2015,Guerrero,Kidnapping,81
2015,Guerrero,Non-compliance with family support obligations,1069
2015,Guerrero,Other common law crimes,7948
2015,Guerrero,Other crimes against heritage or property,75
2015,Guerrero,Other crimes against life and bodily integrity,1
2015,Guerrero,Other crimes against personal freedom,250
2015,Guerrero,Other crimes against sexual freedom and security,88
2015,Guerrero,Other crimes against society,0
2015,Guerrero,Other crimes against the family,76
